id,Country,Cases,Deaths,Update_Time
315,Czech Republic,1,0,2009-06-03 06:00:00
316,Denmark,1,0,2009-06-03 06:00:00
317,Dominican Republic,11,0,2009-06-03 06:00:00
318,Ecuador,39,0,2009-06-03 06:00:00
319,Egypt,1,0,2009-06-03 06:00:00
320,El Salvador,41,0,2009-06-03 06:00:00
321,Estonia,1,0,2009-06-03 06:00:00
322,Finland,4,0,2009-06-03 06:00:00
323,France,26,0,2009-06-03 06:00:00
324,Germany,28,0,2009-06-03 06:00:00
325,Greece,5,0,2009-06-03 06:00:00
326,Guatemala,14,0,2009-06-03 06:00:00
327,Honduras,2,0,2009-06-03 06:00:00
328,Hungary,1,0,2009-06-03 06:00:00
329,Iceland,1,0,2009-06-03 06:00:00
330,India,1,0,2009-06-03 06:00:00
331,Ireland,4,0,2009-06-03 06:00:00
332,Israel,33,0,2009-06-03 06:00:00
333,Italy,30,0,2009-06-03 06:00:00
334,Jamaica,2,0,2009-06-03 06:00:00
335,Japan,385,0,2009-06-03 06:00:00
336,Korea,41,0,2009-06-03 06:00:00
337,Kuwait,18,0,2009-06-03 06:00:00
338,Lebanon,3,0,2009-06-03 06:00:00
339,Malaysia,2,0,2009-06-03 06:00:00
340,Mexico,5029,97,2009-06-03 06:00:00
341,Netherlands,4,0,2009-06-03 06:00:00
342,New Zealand,10,0,2009-06-03 06:00:00
343,Nicaragua,1,0,2009-06-03 06:00:00
344,Norway,4,0,2009-06-03 06:00:00
345,Panama,155,0,2009-06-03 06:00:00
346,Paraguay,5,0,2009-06-03 06:00:00
347,Peru,40,0,2009-06-03 06:00:00
348,Philippines,16,0,2009-06-03 06:00:00
349,Poland,4,0,2009-06-03 06:00:00
350,Portugal,2,0,2009-06-03 06:00:00
351,Romania,5,0,2009-06-03 06:00:00
352,Russia,3,0,2009-06-03 06:00:00
353,Singapore,9,0,2009-06-03 06:00:00
354,Slovakia,2,0,2009-06-03 06:00:00
355,Spain,180,0,2009-06-03 06:00:00
356,Sweden,7,0,2009-06-03 06:00:00
357,Switzerland,10,0,2009-06-03 06:00:00
358,Thailand,2,0,2009-06-03 06:00:00
359,Turkey,4,0,2009-06-03 06:00:00
360,United Kingdom,339,0,2009-06-03 06:00:00
361,United States of America,10053,17,2009-06-03 06:00:00
362,Uruguay,15,0,2009-06-03 06:00:00
363,Venezuela,3,0,2009-06-03 06:00:00
364,Viet Nam,3,0,2009-06-03 06:00:00
365,Argentina,147,0,2009-06-05 06:00:00
366,Australia,876,0,2009-06-05 06:00:00
367,Austria,2,0,2009-06-05 06:00:00
368,Bahamas,1,0,2009-06-05 06:00:00
369,Bahrain,1,0,2009-06-05 06:00:00
370,Barbados,1,0,2009-06-05 06:00:00
371,Belgium,13,0,2009-06-05 06:00:00
372,Bolivia,3,0,2009-06-05 06:00:00
373,Brazil,28,0,2009-06-05 06:00:00
374,Bulgaria,1,0,2009-06-05 06:00:00
375,Canada,1795,3,2009-06-05 06:00:00
376,Chile,369,1,2009-06-05 06:00:00
377,China,89,0,2009-06-05 06:00:00
378,Colombia,24,0,2009-06-05 06:00:00
379,Costa Rica,68,1,2009-06-05 06:00:00
380,Cuba,4,0,2009-06-05 06:00:00
381,Cyprus,1,0,2009-06-05 06:00:00
382,Czech Republic,2,0,2009-06-05 06:00:00
383,Denmark,4,0,2009-06-05 06:00:00
384,Dominican Republic,33,0,2009-06-05 06:00:00
385,Ecuador,43,0,2009-06-05 06:00:00
386,Egypt,1,0,2009-06-05 06:00:00
387,El Salvador,49,0,2009-06-05 06:00:00
388,Estonia,3,0,2009-06-05 06:00:00
389,Finland,4,0,2009-06-05 06:00:00
390,France,47,0,2009-06-05 06:00:00
391,Germany,43,0,2009-06-05 06:00:00
392,Greece,5,0,2009-06-05 06:00:00
393,Guatemala,23,0,2009-06-05 06:00:00
394,Honduras,34,0,2009-06-05 06:00:00
395,Hungary,3,0,2009-06-05 06:00:00
396,Iceland,1,0,2009-06-05 06:00:00
397,India,4,0,2009-06-05 06:00:00
398,Ireland,8,0,2009-06-05 06:00:00
399,Israel,39,0,2009-06-05 06:00:00
400,Italy,38,0,2009-06-05 06:00:00
401,Jamaica,2,0,2009-06-05 06:00:00
402,Japan,410,0,2009-06-05 06:00:00
403,Korea,41,0,2009-06-05 06:00:00
404,Kuwait,18,0,2009-06-05 06:00:00
405,Lebanon,3,0,2009-06-05 06:00:00
406,Luxembourg,1,0,2009-06-05 06:00:00
407,Malaysia,2,0,2009-06-05 06:00:00
408,Mexico,5563,103,2009-06-05 06:00:00
409,Netherlands,4,0,2009-06-05 06:00:00
410,New Zealand,11,0,2009-06-05 06:00:00
411,Nicaragua,5,0,2009-06-05 06:00:00
412,Norway,9,0,2009-06-05 06:00:00
413,Panama,173,0,2009-06-05 06:00:00
414,Paraguay,5,0,2009-06-05 06:00:00
415,Peru,47,0,2009-06-05 06:00:00
416,Philippines,29,0,2009-06-05 06:00:00
417,Poland,4,0,2009-06-05 06:00:00
418,Portugal,2,0,2009-06-05 06:00:00
419,Romania,8,0,2009-06-05 06:00:00
420,Russia,3,0,2009-06-05 06:00:00
421,Saudi Arabia,1,0,2009-06-05 06:00:00
422,Singapore,12,0,2009-06-05 06:00:00
423,Slovakia,3,0,2009-06-05 06:00:00
424,Spain,218,0,2009-06-05 06:00:00
425,Sweden,13,0,2009-06-05 06:00:00
426,Switzerland,10,0,2009-06-05 06:00:00
427,Thailand,8,0,2009-06-05 06:00:00
428,Turkey,8,0,2009-06-05 06:00:00
429,United Kingdom,428,0,2009-06-05 06:00:00
430,United States of America,11054,17,2009-06-05 06:00:00
431,Uruguay,15,0,2009-06-05 06:00:00
432,Venezuela,4,0,2009-06-05 06:00:00
433,Viet Nam,3,0,2009-06-05 06:00:00
434,Argentina,202,0,2009-06-08 06:00:00
435,Australia,1051,0,2009-06-08 06:00:00
436,Austria,5,0,2009-06-08 06:00:00
437,Bahamas,1,0,2009-06-08 06:00:00
438,Bahrain,1,0,2009-06-08 06:00:00
439,Barbados,2,0,2009-06-08 06:00:00
440,Belgium,14,0,2009-06-08 06:00:00
441,Bolivia,3,0,2009-06-08 06:00:00
442,Brazil,35,0,2009-06-08 06:00:00
443,Bulgaria,2,0,2009-06-08 06:00:00
444,Canada,2115,3,2009-06-08 06:00:00
445,Cayman Islands,1,0,2009-06-08 06:00:00
446,Chile,411,1,2009-06-08 06:00:00
447,China,108,0,2009-06-08 06:00:00
448,Colombia,25,0,2009-06-08 06:00:00
449,Costa Rica,68,1,2009-06-08 06:00:00
450,Cuba,5,0,2009-06-08 06:00:00
451,Cyprus,1,0,2009-06-08 06:00:00
452,Czech Republic,2,0,2009-06-08 06:00:00
453,Denmark,7,0,2009-06-08 06:00:00
454,Dominica,1,0,2009-06-08 06:00:00
455,Dominican Republic,44,1,2009-06-08 06:00:00
456,Ecuador,60,0,2009-06-08 06:00:00
457,Egypt,1,0,2009-06-08 06:00:00
458,El Salvador,69,0,2009-06-08 06:00:00
459,Estonia,3,0,2009-06-08 06:00:00
460,Finland,4,0,2009-06-08 06:00:00
461,France,58,0,2009-06-08 06:00:00
462,Germany,63,0,2009-06-08 06:00:00
463,Greece,5,0,2009-06-08 06:00:00
464,Guatemala,30,0,2009-06-08 06:00:00
465,Honduras,34,0,2009-06-08 06:00:00
466,Hungary,3,0,2009-06-08 06:00:00
467,Iceland,1,0,2009-06-08 06:00:00
468,India,4,0,2009-06-08 06:00:00
469,Ireland,11,0,2009-06-08 06:00:00
470,Israel,54,0,2009-06-08 06:00:00
471,Italy,50,0,2009-06-08 06:00:00
472,Jamaica,4,0,2009-06-08 06:00:00
473,Japan,410,0,2009-06-08 06:00:00
474,Korea,47,0,2009-06-08 06:00:00
475,Kuwait,18,0,2009-06-08 06:00:00
476,Lebanon,3,0,2009-06-08 06:00:00
477,Luxembourg,1,0,2009-06-08 06:00:00
478,Malaysia,5,0,2009-06-08 06:00:00
479,Mexico,5717,106,2009-06-08 06:00:00
480,Netherlands,10,0,2009-06-08 06:00:00
481,New Zealand,14,0,2009-06-08 06:00:00
482,Nicaragua,18,0,2009-06-08 06:00:00
483,Norway,9,0,2009-06-08 06:00:00
484,Panama,179,0,2009-06-08 06:00:00
485,Paraguay,5,0,2009-06-08 06:00:00
486,Peru,61,0,2009-06-08 06:00:00
487,Philippines,33,0,2009-06-08 06:00:00
488,Poland,5,0,2009-06-08 06:00:00
489,Portugal,2,0,2009-06-08 06:00:00
490,Romania,9,0,2009-06-08 06:00:00
491,Russia,3,0,2009-06-08 06:00:00
492,Saudi Arabia,1,0,2009-06-08 06:00:00
493,Singapore,15,0,2009-06-08 06:00:00
494,Slovakia,3,0,2009-06-08 06:00:00
495,Spain,291,0,2009-06-08 06:00:00
496,Sweden,14,0,2009-06-08 06:00:00
497,Switzerland,16,0,2009-06-08 06:00:00
498,Thailand,8,0,2009-06-08 06:00:00
499,Trinidad and Tobago,2,0,2009-06-08 06:00:00
500,Turkey,10,0,2009-06-08 06:00:00
501,United Arab Emirates,1,0,2009-06-08 06:00:00
502,United Kingdom,557,0,2009-06-08 06:00:00
503,United States of America,13217,27,2009-06-08 06:00:00
504,Uruguay,17,0,2009-06-08 06:00:00
505,Venezuela,4,0,2009-06-08 06:00:00
506,Viet Nam,9,0,2009-06-08 06:00:00
507,Argentina,235,0,2009-06-10 06:00:00
508,Australia,1224,0,2009-06-10 06:00:00
509,Austria,5,0,2009-06-10 06:00:00
510,Bahamas,2,0,2009-06-10 06:00:00
511,Bahrain,1,0,2009-06-10 06:00:00
512,Barbados,2,0,2009-06-10 06:00:00
513,Belgium,14,0,2009-06-10 06:00:00
514,Bolivia,3,0,2009-06-10 06:00:00
515,Brazil,36,0,2009-06-10 06:00:00
516,Bulgaria,2,0,2009-06-10 06:00:00
517,Canada,2446,4,2009-06-10 06:00:00
518,Cayman Islands,1,0,2009-06-10 06:00:00
519,Chile,1694,2,2009-06-10 06:00:00
520,China,142,0,2009-06-10 06:00:00
521,Colombia,35,0,2009-06-10 06:00:00
522,Costa Rica,93,1,2009-06-10 06:00:00
523,Cuba,5,0,2009-06-10 06:00:00
524,Cyprus,1,0,2009-06-10 06:00:00
525,Czech Republic,2,0,2009-06-10 06:00:00
526,Denmark,8,0,2009-06-10 06:00:00
527,Dominica,1,0,2009-06-10 06:00:00
528,Dominican Republic,91,1,2009-06-10 06:00:00
529,Ecuador,60,0,2009-06-10 06:00:00
530,Egypt,8,0,2009-06-10 06:00:00
531,El Salvador,69,0,2009-06-10 06:00:00
532,Estonia,4,0,2009-06-10 06:00:00
533,Finland,4,0,2009-06-10 06:00:00
534,France,71,0,2009-06-10 06:00:00
535,Germany,78,0,2009-06-10 06:00:00
536,Greece,5,0,2009-06-10 06:00:00
537,Guatemala,60,0,2009-06-10 06:00:00
538,Honduras,89,0,2009-06-10 06:00:00
539,Hungary,3,0,2009-06-10 06:00:00
540,Iceland,2,0,2009-06-10 06:00:00
541,India,4,0,2009-06-10 06:00:00
542,Ireland,12,0,2009-06-10 06:00:00
543,Israel,63,0,2009-06-10 06:00:00
544,Italy,50,0,2009-06-10 06:00:00
545,Jamaica,7,0,2009-06-10 06:00:00
546,Japan,485,0,2009-06-10 06:00:00
547,Korea,48,0,2009-06-10 06:00:00
548,Kuwait,18,0,2009-06-10 06:00:00
549,Lebanon,8,0,2009-06-10 06:00:00
550,Luxembourg,1,0,2009-06-10 06:00:00
551,Malaysia,5,0,2009-06-10 06:00:00
552,Mexico,5717,106,2009-06-10 06:00:00
553,Netherlands,22,0,2009-06-10 06:00:00
554,New Zealand,23,0,2009-06-10 06:00:00
555,Nicaragua,29,0,2009-06-10 06:00:00
556,Norway,9,0,2009-06-10 06:00:00
557,Panama,221,0,2009-06-10 06:00:00
558,Paraguay,16,0,2009-06-10 06:00:00
559,Peru,64,0,2009-06-10 06:00:00
560,Philippines,54,0,2009-06-10 06:00:00
561,Poland,6,0,2009-06-10 06:00:00
562,Portugal,2,0,2009-06-10 06:00:00
563,Romania,9,0,2009-06-10 06:00:00
564,Russia,3,0,2009-06-10 06:00:00
565,Saudi Arabia,1,0,2009-06-10 06:00:00
566,Singapore,18,0,2009-06-10 06:00:00
567,Slovakia,3,0,2009-06-10 06:00:00
568,Spain,331,0,2009-06-10 06:00:00
569,Sweden,16,0,2009-06-10 06:00:00
570,Switzerland,16,0,2009-06-10 06:00:00
571,Thailand,8,0,2009-06-10 06:00:00
572,Trinidad and Tobago,2,0,2009-06-10 06:00:00
573,Turkey,10,0,2009-06-10 06:00:00
574,Ukraine,1,0,2009-06-10 06:00:00
575,United Arab Emirates,1,0,2009-06-10 06:00:00
576,United Kingdom,666,0,2009-06-10 06:00:00
577,United States of America,13217,27,2009-06-10 06:00:00
578,Uruguay,24,0,2009-06-10 06:00:00
